url,protocol,is_success,additional_info,datetime
ynet.co.il,DNS,True,,2024-01-12 15:54:17.880448
yahoo.com,DNS,True,,2024-01-12 15:54:17.880448
http://www.google.com,HTTP,True,{'LATENCY': 0.1748344898223877},2024-01-12 15:54:18.056283
https://www.facebook.com,HTTPS,True,{'LATENCY': 0.7026259899139404},2024-01-12 15:54:18.759937
ynet.co.il,DNS,True,,2024-01-12 15:54:38.025341
yahoo.com,DNS,True,,2024-01-12 15:54:38.026343
http://www.google.com,HTTP,True,{'LATENCY': 0.1556103229522705},2024-01-12 15:54:38.181953
https://www.facebook.com,HTTPS,True,{'LATENCY': 0.5585973262786865},2024-01-12 15:54:38.741570
ynet.co.il,DNS,True,,2024-01-12 15:56:49.099673
yahoo.com,DNS,True,,2024-01-12 15:56:49.102612
ynet.co.il,DNS,True,,2024-01-12 16:00:38.561600
yahoo.com,DNS,True,,2024-01-12 16:00:38.562601
ynet.co.il,DNS,True,,2024-01-12 16:01:49.443116
yahoo.com,DNS,True,,2024-01-12 16:01:49.445116
ynet.co.il,DNS,True,,2024-01-12 16:02:16.771004
yahoo.com,DNS,True,,2024-01-12 16:02:16.773052
ynet.co.il,DNS,True,,2024-01-12 16:04:56.791230
yahoo.com,DNS,True,,2024-01-12 16:04:56.792177
ynet.co.il,DNS,True,,2024-01-12 16:05:28.700358
yahoo.com,DNS,True,,2024-01-12 16:05:28.701332
ynet.co.il,DNS,True,,2024-01-12 16:06:29.932224
yahoo.com,DNS,True,,2024-01-12 16:06:29.935179
ynet.co.il,DNS,True,,2024-01-12 16:06:38.088001
yahoo.com,DNS,True,,2024-01-12 16:06:38.088001
http://www.google.com,HTTP,True,{'LATENCY': 0.15415024757385254},2024-01-12 16:06:38.247177
https://www.facebook.com,HTTPS,True,{'LATENCY': 1.0495495796203613},2024-01-12 16:06:39.310720
ynet.co.il,DNS,True,,2024-01-12 16:07:40.909490
yahoo.com,DNS,True,,2024-01-12 16:07:40.912484
http://www.google.com,HTTP,True,{'LATENCY': 0.1578366756439209},2024-01-12 16:07:41.075293
https://www.facebook.com,HTTPS,True,{'LATENCY': 1.5670981407165527},2024-01-12 16:07:42.650346
ynet.co.il,DNS,True,,2024-01-12 16:17:03.379956
yahoo2.com,DNS,True,,2024-01-12 16:17:03.538583
http://www.google.com,HTTP,True,{'LATENCY': 0.1784648895263672},2024-01-12 16:17:03.723033
https://www.facebook.com,HTTPS,True,{'LATENCY': 1.5544006824493408},2024-01-12 16:17:05.286387
ynet.co.il,DNS,True,,2024-01-12 16:17:19.272806
yahoo2354354.com,DNS,False,,2024-01-12 16:17:19.340236
http://www.google.com,HTTP,True,{'LATENCY': 0.1774425506591797},2024-01-12 16:17:19.527631
https://www.facebook.com,HTTPS,True,{'LATENCY': 3.5550694465637207},2024-01-12 16:17:23.092672
ynet.co.il,DNS,True,,2024-01-12 16:27:54.872719
yahoo2354354.com,DNS,False,,2024-01-12 16:27:54.880697
http://www.google.com,HTTP,True,{'LATENCY': 0.16196751594543457},2024-01-12 16:27:55.049689
https://www.facebook.com,HTTPS,True,{'LATENCY': 0.7319631576538086},2024-01-12 16:27:55.807630
ynet.co.il,DNS,True,,2024-01-12 16:41:32.375964
yahoo2354354.com,DNS,False,,2024-01-12 16:41:32.443022
http://www.google.com,HTTP,True,{'LATENCY': 0.15810704231262207},2024-01-12 16:41:32.616142
https://www.facebook.com,HTTPS,True,{'LATENCY': 0.7548940181732178},2024-01-12 16:41:33.386069
ynet.co.il,DNS,True,,2024-01-12 16:43:12.279262
yahoo2354354.com,DNS,False,,2024-01-12 16:43:12.283210
http://www.google.com,HTTP,True,{'LATENCY': 0.16840219497680664},2024-01-12 16:43:12.462559
https://www.facebook.com,HTTPS,True,{'LATENCY': 1.55238676071167},2024-01-12 16:43:14.029956
ynet.co.il,DNS,True,,2024-01-12 16:43:25.768001
yahoo2354354.com,DNS,False,,2024-01-12 16:43:25.769001
http://www.google.com,HTTP,True,{'LATENCY': 0.16086244583129883},2024-01-12 16:43:25.936777
https://www.facebook.com,HTTPS,True,{'LATENCY': 5.916548013687134},2024-01-12 16:43:31.863375
ynet.co.il,DNS,True,,2024-01-12 17:00:03.894516
yahoo2354354.com,DNS,False,,2024-01-12 17:00:03.902607
http://www.google.com,HTTP,True,{'LATENCY': 0.15289759635925293},2024-01-12 17:00:04.066478
https://www.facebook.com,HTTPS,True,{'LATENCY': 0.9565677642822266},2024-01-12 17:00:05.036014
ynet.co.il,DNS,True,,2024-01-12 17:29:58.248437
yahoo2354354.com,DNS,False,,2024-01-12 17:29:58.254462
http://www.google.com,HTTP,True,{'LATENCY': 0.17126083374023438},2024-01-12 17:29:58.437661
https://www.facebook.com,HTTPS,True,{'LATENCY': 0.6656174659729004},2024-01-12 17:29:59.113277
ynet.co.il,DNS,True,,2024-01-12 17:30:33.468361
yahoo2354354.com,DNS,False,,2024-01-12 17:30:33.470364
http://www.google.com,HTTP,True,{'LATENCY': 0.15842127799987793},2024-01-12 17:30:33.640747
https://www.facebook.com,HTTPS,True,{'LATENCY': 0.5782828330993652},2024-01-12 17:30:34.229922
ynet.co.il,DNS,True,,2024-01-12 17:31:25.271748
yahoo2354354.com,DNS,False,,2024-01-12 17:31:25.274744
http://www.google.com,HTTP,True,{'LATENCY': 0.16109824180603027},2024-01-12 17:31:25.447831
https://www.facebook.com,HTTPS,True,{'LATENCY': 0.5944323539733887},2024-01-12 17:31:26.050293
